lat;long
50.609469966; 3.13822442817
50.6094830357; 3.13818526085
50.6047921052; 3.14612714408
50.6047921025; 3.14612714732
50.7071157477; 3.21204787923
50.6315482; 3.0546042
50.6007601; 3.0204749
50.6874749; 2.8832869
50.626716; 3.0487534
50.6156342; 3.0164125
50.6240942; 3.1818296
50.6096394499; 3.13753617211
50.6096421682; 3.13752521017
50.6094830393; 3.13818526259
50.6449976356; 3.07267822255
50.5767058; 2.978432
50.5749676; 2.9768315
50.6847768; 3.0551756
50.6546096; 2.9815331
50.6941964; 2.8091683
50.6322715; 3.0622237
50.6182768905; 3.16384447397
50.609469966; 3.13822442817
50.6094699702; 3.13822442973
50.6094830366; 3.13818526128
50.6096447683; 3.13751473682
50.6094699744; 3.13822443158
50.6048192511; 3.14618686833
50.6048192579; 3.14618686327
50.7111809; 3.2103114
50.6447821897; 3.07289315012
50.6448142309; 3.0728620796
50.7044949; 2.7876646
50.6096299738; 3.13732708146
50.6096272028; 3.13736147049
50.604868323; 3.14647836016
50.6093686; 2.985369
50.6421571; 3.0611578
50.62892; 3.0575
50.7816997; 3.0467997
50.6346713; 3.0654776
50.6385645; 3.0502281
50.6096222883; 3.13735852309
50.6096348434; 3.13733001729
50.6096447678; 3.1375147363
50.6094830421; 3.13818526241
50.6048462267; 3.14643633066
50.6450287597; 3.07264740494
50.6113332; 2.9886759
50.6383606; 3.0460193
50.6092184; 3.0214021
50.6262076; 3.0688577
50.6549427; 2.9845065
50.6007499; 3.0158784
50.6443829; 3.120137
